Not Spam
How Emilia Pérez Is Being Removed from the 'Emilia Pérez' Oscar Campaign,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
The Estée Lauder Cos. Announces More Job Cuts,"""WWD News Alert"" <email@email.wwd.com>"
2024 Election and Live Sports Drive Big Quarter for Fox Corp.,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
"Spotify Hits First Full-Year Profit, Adds 35 Million Users","""THR Breaking News"" <email@email.hollywoodreporter.com>"
Inside Stella's Super Bowl Surprise: Matt Damon and David Beckham Talk Playing Twin Brothers,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Fox CEO Plans New Streaming Service Launch By End of the Year,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
'The Fantastic Four' Are Ready to Clobber Galactus in First Trailer,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
"Olga James, ‘Carmen Jones,’ Actress and Singer, Dies at 95","""THR Breaking News"" <email@email.hollywoodreporter.com>"
"Peter Kiefer Named Writer-at-Large of The Hollywood Reporter, Joining the Brand’s World-Class Editorial Team","""THR Breaking News"" <email@email.hollywoodreporter.com>"
Amber Ruffin to Headline 2025 White House Correspondents Dinner,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Warner Bros. Discovery Names New U.S. Advertising Sales Chiefs,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
NOVO criador de TCC com IA... (expirando HOJE),"""Felipe Asensi"" <felipe@felipeasensi.com>"
The Estée Lauder Cos. Cuts Up to 7000 Jobs; Beauty Experts Prep for NYFW,"""WWD's Essentialist"" <email@email.wwd.com>"
TV Ratings: Grammys Take On-Air Hit but Thrive on Social Media,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
'How to Die Alone' Canceled After Single Season at Hulu,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Blake Lively and Anna Kendrick’s ‘A Simple Favor’ Sequel to Open SXSW,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
re: Do ZERO ao TCC com IA... (expirando HOJE),"""Felipe Asensi"" <felipe@felipeasensi.com>"
YouTube Advertising Revenues Surge Past $10.5B in Latest Quarter,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Snapchat Hits 453M Daily Active Users As Advertising Revenue Grows,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
re: Do ZERO ao TCC com IA... (expirando HOJE),"""Felipe Asensi"" <felipe@felipeasensi.com>"
Fox News and Fox Nation to Get Significant Super Bowl Ad Push (Exclusive),"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Alamo Drafthouse Layoffs Prompt Unfair Labor Practice Charge,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Membership expire reminder at CE Team Rodriguez,Hernando Rodriguez | Centro de Entrenamiento <hola@ceteamrodriguez.com>
'Kinda Pregnant' Review: Amy Schumer's Netflix Comedy Is Kinda Dull,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Sources Say Serge Brunschwig is Headed to Jil Sander as CEO,"""WWD News Alert"" <email@email.wwd.com>"
"Take That to Perform 'Anora' Hit at BAFTA Awards, Jeff Goldblum to Play Piano for In Memoriam","""THR Breaking News"" <email@email.hollywoodreporter.com>"
"""Moana 2"" and Streaming Power Disney to Wall Street Beat in Latest Quarter","""THR Breaking News"" <email@email.hollywoodreporter.com>"
"'Jurassic World Rebirth': Scarlett Johansson, Mahershala Ali Hit the Jungle in First Trailer","""THR Breaking News"" <email@email.hollywoodreporter.com>"
The New York Times Has Spent $10.8M In Its Legal Battle With OpenAI So Far,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
"Bob Iger Says Disney's Linear TV Assets Are ""Not a Burden""","""THR Breaking News"" <email@email.hollywoodreporter.com>"
"'Clean Slate' Review: Laverne Cox and George Wallace Lead Amazon's Warm, Well-Meaning, Not Especially Funny Comedy","""THR Breaking News"" <email@email.hollywoodreporter.com>"
'Apple Cider Vinegar' Review: Kaitlyn Dever in Netflix Wellness-Scammer Saga That Serves Nothing New,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
"Post Malone, Doechii and Joni Mitchell: An Exclusive Peek Inside Clive Davis' Grammy Gala Photo","""THR Breaking News"" <email@email.hollywoodreporter.com>"
The Final Flicker of Cable News As We Know It,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Mugler and Casey Cadwallader Said to Part Ways; Could Tamara Mellon Buy Back Jimmy Choo?,"""WWD's Essentialist"" <email@email.wwd.com>"
THR Cover: Ben Stiller Takes Control,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Tom Brady Knows His TV Game Needs Work. He Says He's Ready for the Super Bowl,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
Lara Trump to Host Show on Fox News,"""THR Breaking News"" <email@email.hollywoodreporter.com>"
fwd: ,"""Felipe Asensi"" <felipe@felipeasensi.com>"
"Stylish &amp; high-quality glasses! Save 15% OFF! Stylish and Affordable
 Eyewear!",Leoptique <news@m.leoptique.com>
🔵 Bicycle Tune-Up Super Sale,"""Yorktown Cycles"" <info@YorktownCycles.com>"
Falta qualidade no seu Projeto de ,"""Felipe Asensi"" <felipe@felipeasensi.com>"
[DESAFIO] Projeto de Pesquisa com I.A.,"""Felipe Asensi"" <felipe@felipeasensi.com>"

Threats
Subject,From
"Grammys 2025: Winners, Losers, Snubs and Surprises; Karla Sofía Gascón Denies She Is a Racist; THR Critics Pick Best Sundance Films","""THR Today in Entertainment"" <email@email.hollywoodreporter.com>"
'Emilia Pérez' Oscar Campaign Splutters; Baldoni-Lively Battle Hits the Courtroom; 'Buffy' Reboot in the Works at Hulu; 'Bubble & Squeak' Review,"""THR Today in Entertainment"" <email@email.hollywoodreporter.com>"
"Ben Stiller Takes Control; 'Moana 2', Streaming Power Disney In Latest Quarter; Amazon's 'Beast Games' Is Breaking Gen Z; 'Kinda Pregnant' Review","""THR Today in Entertainment"" <email@email.hollywoodreporter.com>"
Reminder: Claim Up to $750 in Bonuses + Momentum Rewards Before,Mohegan Sun Casino <email@promos.ct.mohegansuncasino.com>

Counts
Not Spam,24
Spam,71
Threats,4
